Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,salary
51,George Feigenbaum,185.0,83.0,University of Kentucky,1929.0,,,42092.0
52,Arnie Ferrin,188.0,81.0,University of Utah,1925.0,Salt Lake City,Utah,226547.0
53,Jerry Fleishman,188.0,86.0,New York University,1922.0,Brooklyn,New York,198811.0
54,Joe Fulks*,196.0,86.0,Murray State University,1921.0,Birmingham,Kentucky,239970.0
55,Bill Gabor,180.0,77.0,Syracuse University,1922.0,,,164154.0
56,Elmer Gainer,198.0,88.0,DePaul University,1918.0,Chicago,Illinois,219008.0
57,Harry Gallatin*,198.0,95.0,Truman State University,1927.0,Roxana,Illinois,56515.0
58,Vern Gardner,196.0,90.0,University of Utah,1925.0,Afton,Wyoming,31135.0
59,Frank Gates,183.0,72.0,Sam Houston State University,1920.0,,,43088.0
60,Dee Gibson,180.0,79.0,Western Kentucky University,1923.0,,,129522.0
61,Hoot Gibson,196.0,89.0,Creighton University,1921.0,,,144222.0
62,Chuck Gilmur,193.0,102.0,University of Washington,1922.0,,,150300.0
63,Normie Glick,201.0,86.0,Loyola Marymount University,1927.0,,,53444.0
64,Paul Gordon,190.0,83.0,University of Notre Dame,1927.0,,,60875.0
65,Joe Graboski,201.0,88.0,,1930.0,,,139170.0
66,Bud Grant,190.0,88.0,University of Minnesota,1927.0,Superior,Wisconsin,126294.0
67,Don Grate,188.0,83.0,Ohio State University,1923.0,Greenfield,Ohio,99996.0
68,Alex Groza,201.0,98.0,University of Kentucky,1926.0,Martins Ferry,Ohio,107699.0
69,Al Guokas,196.0,90.0,Saint Joseph's University,1925.0,,,63463.0
70,Robert Hahn,208.0,108.0,North Carolina State University,1925.0,,,174276.0
71,Chick Halbert,206.0,102.0,West Texas A&M University,1919.0,Albany,Texas,182202.0
72,Bruce Hale,185.0,77.0,Santa Clara University,1918.0,Medford,Oregon,233551.0
73,Dale Hamilton,183.0,81.0,Franklin College,1919.0,,,180136.0
74,Alex Hannum*,201.0,95.0,University of Southern California,1923.0,Los Angeles,California,34877.0
75,John Hargis,188.0,81.0,University of Texas at Austin,1920.0,Nacogdoches,Texas,171982.0
76,Bob Harris,201.0,88.0,Oklahoma State University,1927.0,Linden,Tennessee,75978.0
77,Bob Harrison,201.0,88.0,Oklahoma State University,1927.0,Linden,Tennessee,103938.0
78,Billy Hassett,180.0,81.0,University of Notre Dame,1921.0,,,45982.0
79,Marshall Hawkins,190.0,92.0,University of Tennessee,1924.0,Huntington,West Virginia,227356.0
80,Bill Henry,206.0,97.0,Rice University,1924.0,Dallas,Texas,152718.0
81,Bill Herman,190.0,77.0,Mount Union College,1924.0,,,151420.0
82,Kleggie Hermsen,206.0,102.0,University of Minnesota,1923.0,Hill City,Minnesota,80888.0
83,Sonny Hertzberg,178.0,79.0,City College of New York,1922.0,Brooklyn,New York,30560.0
84,Paul Hoffman,188.0,88.0,Purdue University,1925.0,,,48178.0
85,Joe Holland,193.0,83.0,University of Kentucky,1925.0,,,165699.0
86,Red Holzman*,178.0,79.0,City College of New York,1920.0,Brooklyn,New York,200724.0
87,Gene James,193.0,81.0,Marshall University,1925.0,Ironton,Ohio,144677.0
88,Howie Janotta,190.0,83.0,Seton Hall University,1924.0,,,247969.0
89,Tony Jaros,190.0,83.0,University of Minnesota,1920.0,Minneapolis,Minnesota,246196.0
90,Buddy Jeannette*,180.0,79.0,Washington & Jefferson College,1917.0,New Kensington,Pennsylvania,197464.0
91,Arnie Johnson,196.0,107.0,Bemidji State University,1920.0,Gonvick,Minnesota,95193.0
92,Ralph Johnson,180.0,77.0,Huntington University,1921.0,,,143909.0
93,Wah Wah,180.0,77.0,,1921.0,,,43586.0
94,Noble Jorgensen,206.0,103.0,University of Iowa,1925.0,,,171073.0
95,George Kaftan,190.0,86.0,College of the Holy Cross,1928.0,New York,New York,136304.0
96,Leo Katkaveck,183.0,83.0,North Carolina State University,1923.0,,,113487.0
97,Jack Kerris,198.0,97.0,Loyola University of Chicago,1925.0,,,165611.0
98,Bob Kinney,198.0,97.0,Rice University,1920.0,Fort Scott,Kansas,123276.0
99,Walt Kirk,190.0,78.0,University of Illinois at Urbana-Champaign,1924.0,Mount Vernon,Illinois,244180.0
100,Leo Klier,188.0,77.0,University of Notre Dame,1923.0,Washington,Indiana,198159.0
101,Duane Klueh,190.0,79.0,Indiana State University,1926.0,Bottineau,North Dakota,159896.0
102,Lee Knorek,201.0,97.0,University of Detroit Mercy,1921.0,Warsaw,Poland,235283.0
103,Milo Komenich,201.0,96.0,University of Wyoming,1920.0,,,79178.0
104,Leo Kubiak,180.0,72.0,Bowling Green State University,1927.0,,,61803.0
105,Frank Kudelka,188.0,87.0,Saint Mary's College of California,1925.0,,,118197.0
106,Walt Lautenbach,188.0,83.0,University of Wisconsin,1922.0,,,245272.0
107,Tony Lavelli,190.0,83.0,Yale University,1926.0,Somerville,Massachusetts,72884.0
108,Ed Leede,190.0,83.0,Dartmouth College,1927.0,,,178127.0
109,Andrew Levane,188.0,86.0,St. John's University,1920.0,Brooklyn,New York,56351.0
110,Freddie Lewis,188.0,88.0,Eastern Kentucky University,1921.0,Brooklyn,New York,40932.0
111,Ron Livingstone,208.0,99.0,University of Wyoming,1925.0,,,159234.0
112,John Logan,188.0,79.0,Indiana University,1921.0,Richmond,Indiana,245134.0
113,Ray Lumpp,185.0,80.0,New York University,1923.0,Brooklyn,New York,17830.0
114,Ed Macauley*,203.0,83.0,Saint Louis University,1928.0,St. Louis,Missouri,95945.0
115,Johnny Macknowski,183.0,81.0,Seton Hall University,1923.0,,,203897.0
116,John Mahnken,203.0,99.0,Georgetown University,1922.0,New Jersey,New Jersey,208262.0
117,John Mandic,193.0,92.0,Oregon State University,1919.0,Los Angeles,California,63972.0
118,Slater Martin*,178.0,77.0,University of Texas at Austin,1925.0,El Mina,Texas,33616.0
119,Ariel Maughan,193.0,86.0,Utah State University,1923.0,Salt Lake City,Utah,95074.0
120,Matt Mazza,190.0,95.0,Michigan State University,1923.0,Niagara Falls,New York,231611.0
121,Mike McCarron,180.0,81.0,Seton Hall University,1922.0,,,150984.0
122,Dick McGuire*,183.0,81.0,St. John's University,1926.0,Huntington,New York,218987.0
123,Bones McKinney,198.0,83.0,University of North Carolina,1919.0,Lowlands,North Carolina,240883.0
124,Mal McMullen,196.0,95.0,Xavier University,1927.0,,,115217.0
125,Dick Mehen,196.0,88.0,University of Tennessee,1922.0,,,103019.0
126,Ken Menke,183.0,76.0,University of Illinois at Urbana-Champaign,1922.0,,,120281.0
127,Stan Miasek,196.0,95.0,,1924.0,,,78591.0
128,Ed Mikan,203.0,104.0,DePaul University,1925.0,,,225011.0
129,George Mikan*,208.0,111.0,DePaul University,1924.0,Joliet,Illinois,23456.0
130,Vern Mikkelsen*,201.0,104.0,Hamline University,1928.0,Fresno,California,59003.0
131,Al Miksis,201.0,95.0,Western Illinois University,1928.0,,,35541.0
132,Murray Mitchell,201.0,95.0,Sam Houston State University,1923.0,,,56906.0
133,Leo Mogus,193.0,86.0,Youngstown State University,1921.0,Ohio,,108066.0
134,Max Morris,188.0,88.0,Northwestern University,1925.0,,,247868.0
135,Joe Mullaney,183.0,74.0,College of the Holy Cross,1925.0,Long Island,New York,151361.0
136,Jerry Nagel,183.0,86.0,Loyola University of Chicago,1928.0,Chicago,Illinois,210288.0
137,Jack Nichols,201.0,100.0,University of Washington,1926.0,,,147487.0
138,Richie Niemiera,185.0,74.0,University of Notre Dame,1921.0,Chicago,Illinois,171076.0
139,Paul Noel,193.0,83.0,University of Kentucky,1924.0,Midway,Kentucky,67933.0
140,Jim Nolan,203.0,95.0,Georgia Institute of Technology,1927.0,Macon,Georgia,226766.0
141,Johnny Norlander,190.0,81.0,Hamline University,1921.0,Virginia,Minnesota,83308.0
142,George Nostrand,203.0,88.0,University of Wyoming,1924.0,Uniondale,New York,138450.0
143,Mike Novak,206.0,99.0,Loyola University of Chicago,1915.0,Chicago,Illinois,80669.0
144,Dermie O'Connell,183.0,78.0,College of the Holy Cross,1928.0,,,104303.0
145,Andy O'Donnell,185.0,81.0,Loyola College in Maryland,1925.0,,,148435.0
146,Dick O'Keefe,188.0,83.0,Santa Clara University,1923.0,San Francisco,California,38301.0
147,John Oldham,190.0,79.0,Western Kentucky University,1923.0,Beaver Dam,Kentucky,247623.0
148,Gene Ollrich,180.0,72.0,Drake University,1922.0,Whiting,Indiana,64015.0
149,Johnny Orr,190.0,88.0,Beloit College,1927.0,Yale,Kansas,76377.0
150,Don Otten,208.0,108.0,Bowling Green State University,1921.0,Bellefontaine,Ohio,190809.0
151,Mac Otten,201.0,99.0,Bowling Green State University,1925.0,Bellefontaine,Ohio,33802.0
152,Red Owens,190.0,83.0,Baylor University,1925.0,,,94724.0
153,Easy Parham,190.0,90.0,Texas Wesleyan University,1921.0,Fort Worth,Texas,46503.0
154,Jack Parkinson,183.0,78.0,University of Kentucky,1924.0,Yorktown,Indiana,15910.0
155,Charlie Parsley,188.0,79.0,Western Kentucky University,1925.0,,,182557.0
156,Stan Patrick,188.0,83.0,University of Illinois at Urbana-Champaign,1922.0,,,156444.0
157,Johnny Payak,193.0,78.0,Bowling Green State University,1926.0,,,239329.0
158,Warren Perkins,190.0,86.0,Tulane University,1922.0,New Orleans,Louisiana,237049.0
159,Ed Peterson,206.0,99.0,Cornell University,1924.0,,,149551.0
160,Jack Phelan,196.0,88.0,DePaul University,1925.0,Chicago,Illinois,104510.0
161,Andy Phillip*,188.0,88.0,University of Illinois at Urbana-Champaign,1922.0,Granite City,Illinois,163436.0
162,Jim Pollard*,193.0,83.0,Stanford University,1922.0,Oakland,California,87169.0
163,John Pritchard,206.0,99.0,Drake University,1927.0,,,130226.0
164,Les Pugh,201.0,86.0,Ohio State University,1923.0,,,53338.0
165,Don Putman,201.0,86.0,,1923.0,,,112250.0
166,George Ratkovicz,198.0,99.0,,1922.0,Chicago,Illinois,55246.0
167,Don Ray,196.0,86.0,Western Kentucky University,1921.0,Mt. Juliet,Tennessee,34661.0
168,Chick Reiser,180.0,74.0,New York University,1914.0,,,75265.0
169,Arnie Risen*,206.0,90.0,Ohio State University,1924.0,Williamstown,Kentucky,197745.0
170,Tex Ritter,188.0,83.0,Eastern Kentucky University,1924.0,Richmond,Kentucky,123554.0
171,Bill Roberts,206.0,95.0,University of Wyoming,1925.0,Fort Wayne,Indiana,138959.0
172,Red Rocha,206.0,83.0,Oregon State University,1923.0,Hilo,Hawaii,54292.0
173,Kenny Rollins,183.0,76.0,University of Kentucky,1923.0,Charlestown,Missouri,23749.0
174,Bob Royer,178.0,70.0,Indiana State University,1927.0,,,132171.0
175,Jerry Rullo,178.0,74.0,Temple University,1923.0,Philadelphia,Pennsylvania,176980.0
176,Ed Sadowski,196.0,108.0,Seton Hall University,1917.0,Johnstown,Pennsylvania,246912.0
177,Kenny Sailors,178.0,79.0,University of Wyoming,1921.0,Bushnell,Nebraska,96925.0
178,Pep Saul,188.0,83.0,Seton Hall University,1924.0,,,50325.0
179,Herm Schaefer,183.0,79.0,Indiana University,1918.0,Fort Wayne,Indiana,78398.0
180,Marv Schatzman,196.0,90.0,Saint Louis University,1927.0,,,133174.0
181,Fred Schaus,196.0,92.0,West Virginia University,1925.0,Newark,Ohio,41976.0
182,Dolph Schayes*,203.0,99.0,New York University,1928.0,New York,New York,25508.0
183,Milt Schoon,201.0,104.0,Valparaiso University,1922.0,,,166971.0
184,Howie Schultz,198.0,90.0,Hamline University,1922.0,St. Paul,Minnesota,20802.0
185,Dick Schulz,188.0,87.0,University of Wisconsin,1917.0,Racine,Wisconsin,72902.0
186,Fred Scolari,178.0,81.0,University of San Francisco,1922.0,San Francisco,California,151599.0
187,Wayne See,190.0,86.0,Northern Arizona University,1923.0,Clemenceau,Arizona,157937.0
188,Glen Selbo,190.0,88.0,University of Wisconsin,1926.0,,,104103.0
189,Rollie Seltz,178.0,74.0,Hamline University,1924.0,McIntosh,Minnesota,141015.0
190,Jim Seminoff,188.0,86.0,University of Southern California,1922.0,Los Angelse,California,144264.0
191,George Senesky,188.0,81.0,Saint Joseph's University,1922.0,Mahanoy City,Pennsylvania,144464.0
192,Paul Seymour,185.0,81.0,University of Toledo,1928.0,Toledo,Ohio,116965.0
193,Carl Shaeffer,190.0,83.0,University of Alabama,1924.0,Delphi,Indiana,204403.0
194,Howie Shannon,188.0,79.0,Kansas State University,1923.0,Manhattan,Kansas,41431.0
195,Charley Shipp,185.0,90.0,Catholic University of America,1913.0,,,80432.0
196,Connie Simmons,203.0,100.0,,1925.0,Newark,New Jersey,246503.0
197,Belus Smawley,185.0,88.0,Appalachian State University,1918.0,Golden Valley,North Carolina,19604.0
198,Jack Smiley,190.0,86.0,University of Illinois at Urbana-Champaign,1922.0,Sandwich,Illinois,59655.0
199,Chips Sobek,183.0,81.0,University of Notre Dame,1920.0,,,209675.0
200,Odie Spears,196.0,92.0,Western Kentucky University,1925.0,,,159221.0
201,Art Spector,193.0,90.0,Villanova University,1920.0,Philadelphia,Pennsylvania,177163.0
202,Ed Stanczak,185.0,83.0,,1921.0,,,116932.0
203,Gene Stump,188.0,83.0,DePaul University,1923.0,,,210708.0
204,Mike Todorovich,196.0,99.0,University of Wyoming,1923.0,,,125624.0
205,Jack Toomay,198.0,97.0,University of the Pacific,1922.0,Ontario,California,225203.0
206,Bob Tough,183.0,83.0,St. John's University,1920.0,New York,New York,126296.0
207,Blackie Towery,193.0,95.0,Western Kentucky University,1920.0,Caldwell,Kentucky,66212.0
208,Dick Triptow,183.0,77.0,DePaul University,1922.0,Chicago,Illinois,229536.0
209,Butch Van,183.0,77.0,,1922.0,,,70309.0
210,Gene Vance,190.0,88.0,University of Illinois at Urbana-Champaign,1923.0,,,23317.0
211,Ernie Vandeweghe,190.0,88.0,Colgate University,1928.0,Montreal,Canada,232514.0
212,Floyd Volker,193.0,92.0,University of Wyoming,1921.0,Casper,Wyoming,241166.0
213,Whitey Von,193.0,92.0,,1921.0,,,86379.0
214,Clint Wager,198.0,95.0,Saint Mary's University of Minnesota,1920.0,Winona,Minnesota,190224.0
215,Danny Wagner,183.0,77.0,University of Texas at Austin,1922.0,,,122114.0
216,Brady Walker,198.0,92.0,Brigham Young University,1921.0,Provo,Utah,211903.0
217,Paul Walther,188.0,72.0,University of Tennessee,1927.0,Covington,Kentucky,244793.0
218,Bobby Wanzer*,183.0,77.0,Seton Hall University,1921.0,Brooklyn,New York,95666.0
219,Murray Wier,175.0,70.0,University of Iowa,1926.0,Grand View,Iowa,177209.0
220,D.C. Wilcutt,175.0,70.0,,1926.0,,,152847.0
221,Bob Wood,175.0,70.0,Northern Illinois University,1921.0,,,172031.0
222,Max Zaslofsky,188.0,77.0,St. John's University,1925.0,Brooklyn,New York,75356.0
223,,,,,,,,229396.0
224,Paul Arizin*,193.0,86.0,Villanova University,1928.0,Philadelphia,Pennsylvania,55221.0
225,Ed Beach,190.0,90.0,West Virginia University,1929.0,,,66583.0
226,Leon Blevins,188.0,72.0,University of Arizona,1926.0,,,72310.0
227,Ike Borsavage,203.0,99.0,Temple University,1924.0,Plymouth,Pennsylvania,107555.0
228,Art Burris,196.0,99.0,University of Tennessee,1924.0,,,123287.0
229,Gerry Calabrese,185.0,79.0,St. John's University,1925.0,Hoboken,New Jersey,187860.0
230,Cal Christensen,196.0,95.0,University of Toledo,1927.0,,,194272.0
231,Nat Clifton*,198.0,99.0,Xavier University of Louisiana,1922.0,Little Rock,Arkansas,25865.0
232,Chuck Cooper,196.0,95.0,Duquesne University,1926.0,,,186877.0
233,Bob Cousy*,185.0,79.0,College of the Holy Cross,1928.0,New York,New York,229976.0
234,Hank DeZonie,198.0,97.0,Clark Atlanta University,1922.0,,,188271.0
235,Bob Donham,188.0,86.0,Ohio State University,1926.0,,,126639.0
236,Ray Ellefson,203.0,104.0,West Texas A&M University,1922.0,Brookings,South Dakota,208924.0
237,Larry Foust,206.0,97.0,La Salle University,1928.0,Painesville,Ohio,154461.0
238,Ed Gayda,193.0,95.0,Washington State University,1927.0,,,205684.0
239,Joe Hutton,185.0,77.0,Hamline University,1928.0,,,95240.0
240,Bob Lavoy,201.0,83.0,Western Kentucky University,1926.0,,,201717.0
241,Earl Lloyd*,196.0,90.0,West Virginia State University,1928.0,,,166054.0
242,Don Lofgran,196.0,90.0,University of San Francisco,1928.0,Oakland,California,79938.0
243,Norm Mager,196.0,83.0,City College of New York,1926.0,,,208396.0
244,Joe McNamee,198.0,95.0,University of San Francisco,1926.0,,,164569.0
245,Chuck Mrazovich,196.0,83.0,Eastern Kentucky University,1924.0,,,134024.0
246,Ken Murray,188.0,86.0,St. Bonaventure University,1928.0,,,200886.0
247,Tommy O'Keefe,188.0,83.0,Georgetown University,1928.0,Jersey City,New Jersey,17711.0
248,Kevin O'Shea,188.0,79.0,University of Notre Dame,1925.0,San Francisco,California,237517.0
249,Don Rehfeldt,201.0,95.0,University of Wisconsin,1927.0,Chicago,Illinois,225099.0
250,Jim Riffey,193.0,90.0,Tulane University,1923.0,,,91653.0
251,Alan Sawyer,196.0,88.0,"University of California, Los Angeles",1928.0,Long Beach,California,179536.0
252,Herb Scherer,206.0,96.0,Long Island University,1928.0,,,122642.0
253,Dick Schnittker,196.0,90.0,Ohio State University,1928.0,Kelleys Island,Ohio,35466.0
254,Bill Sharman*,185.0,79.0,University of Southern California,1926.0,Abilene,Texas,35648.0
255,Don Barksdale*,198.0,90.0,"University of California, Los Angeles",1923.0,Oakland,California,157225.0
256,Elmer Behnke,201.0,95.0,Bradley University,1929.0,Rockford,Illinois,96127.0
257,Stan Brown,190.0,90.0,,1929.0,,,239527.0
258,Ed Dahler,196.0,86.0,Duquesne University,1926.0,,,235554.0
259,Nate DeLong,198.0,99.0,University of Wisconsin-River Falls,1926.0,,,226445.0
260,Dick Dickey,185.0,79.0,North Carolina State University,1926.0,Grant County,Indiana,30681.0
261,Jake Fendley,183.0,81.0,Northwestern University,1929.0,,,100770.0
262,Jerry Fowler,203.0,104.0,University of Missouri,1927.0,,,133577.0
263,Lew Hitch,203.0,90.0,Kansas State University,1929.0,Griggsville,Illinois,30485.0
264,Mel Hutchins,198.0,90.0,Brigham Young University,1928.0,Sacramento,California,77524.0
265,Neil Johnston*,203.0,95.0,Ohio State University,1929.0,Chillicothe,Ohio,15234.0
266,Jack Kiley,185.0,77.0,Syracuse University,1929.0,,,36682.0
267,George King,183.0,79.0,University of Charleston,1928.0,Charleston,West Virginia,240694.0
268,John McConathy,196.0,88.0,Northwestern State University,1930.0,Sailes,Louisiana,242927.0
269,Alfred McGuire*,188.0,81.0,St. John's University,1928.0,New York,New York,140163.0
270,Dave Minor,188.0,83.0,"University of California, Los Angeles",1922.0,Missouri,,205058.0
271,Ralph O'Brien,175.0,72.0,Butler University,1928.0,Henshaw,Kentucky,198934.0
272,Wally Osterkorn,196.0,97.0,University of Illinois at Urbana-Champaign,1928.0,,,67311.0
273,Mel Payton,193.0,83.0,Tulane University,1926.0,,,185353.0
274,John Pilch,190.0,83.0,University of Wyoming,1925.0,Sheridan,Wyoming,92669.0
275,Ray Ragelis,193.0,92.0,Northwestern University,1928.0,,,157299.0
276,Sam Ranzino,185.0,83.0,North Carolina State University,1927.0,Gary,Indiana,207566.0
277,John Rennicke,188.0,83.0,Drake University,1929.0,,,141004.0
278,Don Savage,190.0,92.0,LeMoyne College,1928.0,,,223169.0
279,Chuck Share,211.0,106.0,Bowling Green State University,1927.0,,,217831.0
280,Zeke Sinicola,178.0,74.0,Niagara University,1929.0,,,158733.0
281,Whitey Skoog,180.0,81.0,University of Minnesota,1926.0,Duluth,Minnesota,148486.0
282,Jim Slaughter,211.0,95.0,University of South Carolina,1928.0,,,53059.0
283,Bill Tosheff,185.0,79.0,Indiana University,1926.0,,,176615.0
284,Bob Wilson,193.0,83.0,West Virginia State University,1926.0,,,106357.0
285,Jim Baechtold,193.0,92.0,Eastern Kentucky University,1927.0,McKeesport,Pennsylvania,146736.0
286,Jim Brasco,185.0,77.0,New York University,1931.0,Brooklyn,New York,220541.0
287,Dick Bunt,183.0,77.0,New York University,1930.0,Queens,New York,84092.0
288,Gene Conley,203.0,102.0,Washington State University,1930.0,Muskogee,Oklahoma,58041.0
289,Pete Darcey,201.0,98.0,Oklahoma State University,1930.0,,,145890.0
290,Blaine Denning,188.0,79.0,Lawrence Technological University,1930.0,,,142956.0
291,Danny Finn,185.0,83.0,St. John's University,1928.0,,,114771.0
292,Dick Groat,180.0,81.0,Duke University,1930.0,Wilkinsburg,Pennsylvania,48937.0
293,Don Hanrahan,201.0,90.0,Loyola University of Chicago,1929.0,,,63752.0
294,Don Henriksen,201.0,102.0,University of California,1929.0,,,183671.0
295,Jim Holstein,190.0,81.0,University of Cincinnati,1930.0,,,122041.0
296,Bob Lochmueller,196.0,83.0,University of Louisville,1927.0,,,172974.0
297,Mo Mahoney,188.0,92.0,Brown University,1927.0,,,61566.0
298,Al Masino,178.0,78.0,Canisius College,1928.0,,,91846.0
299,Jack McCloskey,188.0,86.0,University of Pennsylvania,1925.0,Mahanoy City,Pennsylvania,32821.0
300,Bucky McConnell,178.0,77.0,Marshall University,1928.0,,,36442.0
301,George McLeod,196.0,90.0,Texas Christian University,1931.0,,,121093.0
302,Jack McMahon,185.0,83.0,St. John's University,1928.0,,,222066.0
303,Monk Meineke,201.0,94.0,University of Dayton,1930.0,Dayton,Ohio,62256.0
304,Eddie Miller,203.0,102.0,Syracuse University,1931.0,,,151293.0
305,Bill Mlkvy,193.0,86.0,Temple University,1931.0,Palmerton,Pennsylvania,224814.0
306,Jim Mooney,196.0,97.0,Villanova University,1930.0,,,134312.0
307,Bob Naber,190.0,83.0,University of Louisville,1929.0,,,32718.0
308,John O'Boyle,188.0,83.0,Colorado State University,1928.0,,,169173.0
309,Mike O'Neill,190.0,95.0,University of California,1928.0,,,155835.0
310,Claude Overton,188.0,88.0,East Central University,1927.0,,,113038.0
311,Ralph Polson,201.0,90.0,Whitworth,1929.0,,,63121.0
312,Bob Priddy,190.0,86.0,New Mexico State University,1930.0,,,215743.0
313,Moe Radovich,183.0,72.0,University of Wyoming,1929.0,,,163312.0
314,Sherwin Raiken,188.0,83.0,Villanova University,1928.0,,,158549.0
315,Gene Rhodes,185.0,77.0,Western Kentucky University,1927.0,,,75517.0
316,Dick Surhoff,193.0,95.0,Long Island University,1929.0,,,57164.0
317,Mark Workman,206.0,97.0,West Virginia University,1930.0,Charleston,West Virginia,249905.0
318,Zeke Zawoluk,201.0,97.0,St. John's University,1930.0,Brooklyn,New York,223778.0
319,Don Ackerman,183.0,83.0,Long Island University,1930.0,New York,New York,76918.0
320,Don Asmonga,188.0,83.0,Alliance College,1928.0,West Mifflin,Pennsylvania,131207.0
321,Ernie Barrett,190.0,81.0,Kansas State University,1929.0,Pratt,Kansas,165868.0
322,Ernie Beck,193.0,86.0,University of Pennsylvania,1931.0,Philadelphia,Pennsylvania,135959.0
323,Irv Bemoras,190.0,83.0,University of Illinois at Urbana-Champaign,1930.0,,,195679.0
324,Bill Bolger,196.0,92.0,Georgetown University,1931.0,,,179656.0
325,Walt Davis,203.0,92.0,Texas A&M University,1931.0,Beaumont,Texas,17873.0
326,Gene Dyker,198.0,102.0,DePaul University,1930.0,,,34718.0
